2024-08-25 23:25:33,438 - my_logger - DEBUG - Output from LSTM shape: torch.Size([1, 603, 256])
2024-08-25 23:25:33,439 - my_logger - DEBUG - Mask shape before final reshape: torch.Size([1, 603, 2050])
2024-08-25 23:25:34,272 - my_logger - INFO - Processed batch - SDR: 1.6626, SIR: -0.0000, SAR: 1.6626
2024-08-25 23:25:34,278 - my_logger - DEBUG - Input shape after reshape: torch.Size([1, 603, 2050])
2024-08-25 23:25:34,282 - my_logger - DEBUG - Output from LSTM shape: torch.Size([1, 603, 256])
2024-08-25 23:25:34,283 - my_logger - DEBUG - Mask shape before final reshape: torch.Size([1, 603, 2050])
2024-08-25 23:25:35,090 - my_logger - INFO - Processed batch - SDR: 1.4368, SIR: 0.0000, SAR: 1.4368
2024-08-25 23:25:35,100 - my_logger - DEBUG - Input shape after reshape: torch.Size([1, 603, 2050])
2024-08-25 23:25:35,103 - my_logger - DEBUG - Output from LSTM shape: torch.Size([1, 603, 256])
2024-08-25 23:25:35,104 - my_logger - DEBUG - Mask shape before final reshape: torch.Size([1, 603, 2050])
2024-08-25 23:25:35,917 - my_logger - INFO - Processed batch - SDR: 0.8674, SIR: 0.0000, SAR: 0.8674
2024-08-25 23:25:35,924 - my_logger - DEBUG - Input shape after reshape: torch.Size([1, 603, 2050])
2024-08-25 23:25:35,927 - my_logger - DEBUG - Output from LSTM shape: torch.Size([1, 603, 256])
2024-08-25 23:25:35,928 - my_logger - DEBUG - Mask shape before final reshape: torch.Size([1, 603, 2050])
2024-08-25 23:25:36,752 - my_logger - INFO - Processed batch - SDR: 1.4233, SIR: -0.0000, SAR: 1.4233
2024-08-25 23:25:36,760 - my_logger - DEBUG - Input shape after reshape: torch.Size([1, 603, 2050])
2024-08-25 23:25:36,763 - my_logger - DEBUG - Output from LSTM shape: torch.Size([1, 603, 256])
2024-08-25 23:25:36,765 - my_logger - DEBUG - Mask shape before final reshape: torch.Size([1, 603, 2050])
2024-08-25 23:25:37,578 - my_logger - INFO - Processed batch - SDR: 0.7881, SIR: -0.0000, SAR: 0.7881
2024-08-25 23:25:37,587 - my_logger - DEBUG - Input shape after reshape: torch.Size([1, 603, 2050])
2024-08-25 23:25:37,590 - my_logger - DEBUG - Output from LSTM shape: torch.Size([1, 603, 256])
2024-08-25 23:25:37,591 - my_logger - DEBUG - Mask shape before final reshape: torch.Size([1, 603, 2050])
2024-08-25 23:25:38,435 - my_logger - INFO - Processed batch - SDR: -inf, SIR: -inf, SAR: -inf
